time_tag,short_flux,long_flux
2026-03-04 04:57:00+00:00,9.999999717180685e-10,5.977839805382246e-07
2026-03-04 04:58:00+00:00,9.999999717180685e-10,5.944775125499291e-07
2026-03-04 04:59:00+00:00,9.999999717180685e-10,5.933914053457556e-07
2026-03-04 05:00:00+00:00,9.999999717180685e-10,5.909971036999195e-07
2026-03-04 05:01:00+00:00,9.999999717180685e-10,5.868774337614013e-07
2026-03-04 05:02:00+00:00,9.999999717180685e-10,5.874896942259511e-07
2026-03-04 05:03:00+00:00,9.999999717180685e-10,5.835215688421158e-07
2026-03-04 05:04:00+00:00,9.999999717180685e-10,5.82496056722448e-07
2026-03-04 05:05:00+00:00,9.999999717180685e-10,5.791208650407498e-07
2026-03-04 05:06:00+00:00,9.999999717180685e-10,5.773201223746582e-07
2026-03-04 05:07:00+00:00,9.999999717180685e-10,5.775071372227103e-07
2026-03-04 05:08:00+00:00,9.999999717180685e-10,5.770344273514638e-07
2026-03-04 05:09:00+00:00,9.999999717180685e-10,5.801260840598843e-07
2026-03-04 05:10:00+00:00,9.999999717180685e-10,5.840149697178276e-07
2026-03-04 05:11:00+00:00,9.999999717180685e-10,5.886591907255934e-07
2026-03-04 05:12:00+00:00,9.999999717180685e-10,5.896187076359638e-07
2026-03-04 05:13:00+00:00,1.0227996227740732e-09,5.891961905035714e-07
2026-03-04 05:14:00+00:00,9.999999717180685e-10,5.884087386220926e-07
2026-03-04 05:15:00+00:00,9.999999717180685e-10,5.897937285226362e-07
2026-03-04 05:16:00+00:00,9.999999717180685e-10,5.891336058994057e-07
2026-03-04 05:17:00+00:00,9.999999717180685e-10,5.847249440193991e-07
2026-03-04 05:18:00+00:00,9.999999717180685e-10,5.83814710353181e-07
2026-03-04 05:19:00+00:00,9.999999717180685e-10,5.824202844451065e-07
2026-03-04 05:20:00+00:00,1.768272417379535e-09,5.844740940119664e-07
2026-03-04 05:21:00+00:00,2.487686057150995e-09,5.810077823298343e-07
2026-03-04 05:22:00+00:00,1.0272922512655214e-09,5.787991312899976e-07
2026-03-04 05:23:00+00:00,2.5770188205598288e-09,5.782233643003565e-07
2026-03-04 05:24:00+00:00,1.5908002692910372e-09,5.782928269582044e-07
2026-03-04 05:25:00+00:00,1.7965345877613004e-09,5.764520665252348e-07
2026-03-04 05:26:00+00:00,1.5155338095595994e-09,5.765081709796505e-07
2026-03-04 05:27:00+00:00,2.71148192787507e-09,5.744560667153564e-07
2026-03-04 05:28:00+00:00,2.079148631040084e-09,5.768943083239719e-07
2026-03-04 05:29:00+00:00,1.8470935891912177e-09,5.753586833634472e-07
2026-03-04 05:30:00+00:00,2.1658932425339117e-09,5.725406140300038e-07
2026-03-04 05:31:00+00:00,2.6588256041293334e-09,5.705136914002651e-07
2026-03-04 05:32:00+00:00,1.8149264313649383e-09,5.658229724758712e-07
2026-03-04 05:33:00+00:00,1.8678740776323366e-09,5.642825158247433e-07
2026-03-04 05:34:00+00:00,4.0301175729950955e-09,5.624289656225301e-07
2026-03-04 05:35:00+00:00,2.3175281693710303e-09,5.570688585976313e-07
2026-03-04 05:36:00+00:00,3.1097844299665667e-09,5.575103045885044e-07
2026-03-04 05:37:00+00:00,5.191717722397016e-09,5.513977043847262e-07
2026-03-04 05:38:00+00:00,6.097725879783411e-09,5.48115622223122e-07
2026-03-04 05:39:00+00:00,6.561722720732632e-09,5.519238470697019e-07
2026-03-04 05:40:00+00:00,5.57078871921135e-09,5.511901690624654e-07
2026-03-04 05:41:00+00:00,7.081722319668415e-09,5.482178835336526e-07
2026-03-04 05:42:00+00:00,4.982803059050411e-09,5.450797857520229e-07
2026-03-04 05:43:00+00:00,4.891487215274992e-09,5.420735647021502e-07
2026-03-04 05:44:00+00:00,5.687473603188664e-09,5.417205102276057e-07
2026-03-04 05:45:00+00:00,5.177229311925657e-09,5.402075657912064e-07
2026-03-04 05:46:00+00:00,3.534693426843205e-09,5.364657909012749e-07
2026-03-04 05:47:00+00:00,4.14253431557654e-09,5.376462581807573e-07
2026-03-04 05:48:00+00:00,4.150558119420111e-09,5.337947186490055e-07
2026-03-04 05:49:00+00:00,3.5406340082033694e-09,5.314490181262954e-07
2026-03-04 05:50:00+00:00,2.337035232002904e-09,5.304210048961977e-07
2026-03-04 05:51:00+00:00,2.4115309749106473e-09,5.281469270812522e-07
